year,Butter,Margarine,Lard,Edible beef tallow,Shortening,Salad and cooking oils,Other edible fats and oils,Light cream,Sour cream,Cream cheese,Eggnog
2004,2.700902015,2.358667752,0.303039118,1.600979438,20.72584707,33.33847018,1.314291306,1.463919451,0.793447315,0.696940147,0.011840178
2005,2.71240787,1.805643728,0.626910949,1.521483712,18.4984611,35.6613114,1.434907256,1.474791812,0.83290201,0.707967285,0.011849546
2006,2.80354675,2.060539895,0.673539842,1.567537599,15.84986167,37.18234638,1.899995832,1.527712249,0.791114663,0.738359053,0.011891344
2007,2.814804816,2.037261242,0.650902685,1.189497077,13.36848092,41.88549805,1.487584288,1.555546304,0.818978166,0.743873082,0.010889934
2008,2.988922128,1.887624194,0.420627325,1.187622788,11.49040117,45.08980489,1.459882767,1.496681698,0.787366288,0.722247746,0.010958019
2009,2.975499713,1.647469612,0.588108527,0.277944457,10.16173767,42.58822402,1.489254896,1.484546562,0.782806868,0.721620987,0.011915205
2010,2.952043339,1.59469921,0.625572491,1.3267307,9.778649913,44.70309643,1.481025035,1.512469707,0.790298001,0.686196839,0.011800401
2011,3.228614244,0,0,0,0,0,0,1.488124809,0.777149298,0.647194723,0.011766761
2012,3.308261557,0,0,0,0,0,0,1.308569825,0.767938587,0.718201159,0.011464102
2013,3.287073004,0,0,0,0,0,0,1.275810565,0.736299372,0.734196981,0.011276375
